id,scenario,speaker_role,utterance
61,product_inquiry,customer,okay  order দিয়ে দিচ্ছি তাহলে
62,product_inquiry,agent,অবশ্যই স্যার কোনো problem হলে আবার call দেন
63,delivery_delay,customer,আমার parcel টার  tracking update নাই aaa ৩ দিন ধরে — এইটা normal?
64,delivery_delay,agent,না স্যার normally এতক্ষণ লাগার কথা না — আমি এখনই check করতেছি
65,delivery_delay,customer,please quick চেক করেন কারণ gift ছিল এইটা occasion এর জন্য
66,delivery_delay,agent,অবশ্যই স্যার আমি urgent mark করে দিচ্ছি — courier partner কে contact করতেছি
67,delivery_delay,customer,thank you  আশা করি কাল এর মধ্যে পাবো
68,delivery_delay,agent,সর্বোচ্চ চেষ্টা করবো স্যার আপনাকে update দেবো
69,order_cancel,customer,umm আমি actually ভুলে duplicate order দিয়ে ফেলছি cancel করা যাবে?
70,order_cancel,agent,হ্যাঁ স্যার কোনটা রাখতে চান বলেন — বাকিটা cancel করে দেবো
71,order_cancel,customer,BD৫৫৪৩২ টা রাখেন বাকি BD৫৫৪৩৩ টা cancel করেন
72,order_cancel,agent,done স্যার BD৫৫৪৩৩ cancel হয়ে গেছে
73,refund_request,customer,refund এর status কী? ১০ দিন হয়ে গেছে কিছু আসে নাই
74,refund_request,agent,সরি স্যার এত দেরি হওয়া উচিত না — ticket number টা আছে আপনার কাছে?
75,refund_request,customer,হ্যাঁ TKT৯৯১২৩ — এইটা দিয়ে track করেন
76,refund_request,agent,দেখতেছি স্যার… actually bank processing এ একটু stuck আছে
77,refund_request,customer,এইটা তো আমার problem না  — আমি কবে পাবো clearly বলেন
78,refund_request,agent,আমি আজকেই finance team কে inform করতেছি ২৪ ঘণ্টার মধ্যে update দেবো
79,wrong_item,customer,আচ্ছা  wrong item পাঠাইছেন — এইটা কি আপনাদের warehouse এর mistake?
80,wrong_item,agent,হ্যাঁ স্যার এইটা আমাদের end থেকেই হইছে — really sorry
81,wrong_item,customer,okay apology accept করলাম কিন্তু solution চাই fast
82,wrong_item,agent,absolutely স্যার আপনি কি exchange চান নাকি full refund?
83,wrong_item,customer,exchange দেন — same product correct color এ পাঠান
84,wrong_item,agent,noted স্যার আজকেই dispatch করার try করবো
85,payment_issue,customer, double charge হয়ে গেছে একই order এ দুইবার কেটেছে
86,payment_issue,agent,এইটা শুনে সত্যিই sorry স্যার — কোন payment method ছিল?
87,payment_issue,customer,bKash এ করছিলাম — দুইটাই deduct হইছে statement এ দেখতেছি
88,payment_issue,agent,স্যার screenshot টা আমাদের chat এ দিতে পারবেন? verify করি
89,payment_issue,customer,হ্যাঁ দিচ্ছি — extra টা কিন্তু অবশ্যই ফেরত দিতে হবে
90,payment_issue,agent,অবশ্যই স্যার verified হলেই ৪৮ ঘণ্টার মধ্যে refund হয়ে যাবে
91,product_inquiry,customer,এই laptop bag টা কি ১৫ inch laptop fit করবে?
92,product_inquiry,agent,হ্যাঁ স্যার up to 15.6 inch পর্যন্ত fit করবে description এ আছে
93,product_inquiry,customer,okay আর material টা কী? waterproof কিনা জানতে চাইছিলাম
94,product_inquiry,agent,water resistant স্যার fully waterproof না — হালকা বৃষ্টিতে okay থাকবে
95,product_inquiry,customer,hmm আচ্ছা — কোনো discount আছে এখন?
96,product_inquiry,agent,এই মুহূর্তে ১০% off চলছে স্যার — app থেকে order দিলে extra ৫% পাবেন
97,product_inquiry,customer,তাহলে app থেকেই দিবো — code লাগবে নাকি automatic?
98,product_inquiry,agent,automatic স্যার cart এ গেলেই apply হয়ে যাবে
